Day,positiverate,Cases,Tests,Type
2022-12-09,0.591715976331361,8205.12820512822,1386666.666666669,ANT
2022-12-10,0.875739644970416,12307.6923076923,1405405.4054054015,ANT
2022-12-11,1.19526627218935,14358.9743589744,1201320.1320132038,ANT
2022-12-12,1.67455621301775,24615.3846153846,1469964.6643109545,ANT
2022-12-13,2.3491124260355,33925.0493096647,1444164.5675902623,ANT
2022-12-14,2.93491124260355,51514.5852797674,1755234.8613469135,ANT
2022-12-15,3.82248520710059,55384.6153846154,1448916.4086687316,ANT
2022-12-16,5.24260355029586,74139.19413919409,1414167.4728582164,ANT
2022-12-17,6.2603550295858,81025.641025641,1294265.9105229988,ANT
2022-12-18,9.34319526627219,116923.07692307701,1251424.952501584,ANT
2022-12-19,11.8284023668639,222327.41617357,1879606.4699016183,ANT
2022-12-20,14.7662721893491,229743.58974358998,1555867.2276764873,ANT
2022-12-21,18.689349112426,295226.824457594,1579652.7887710459,ANT
2022-12-22,21.2011834319527,336883.62919132103,1588985.0218624938,ANT
2022-12-23,19.9230769230769,300907.29783037497,1510345.5103455132,ANT
2022-12-24,19.9408284023669,267692.307692308,1342433.234421364,ANT
2022-12-25,20.189349112426,240315.581854043,1190308.71434154,ANT
2022-12-26,20.4378698224852,281025.641025641,1375024.1266164838,ANT
2022-12-27,18.9644970414201,235581.854043392,1242225.6890275597,ANT
2022-12-28,18.3431952662722,196765.285996055,1072688.172043009,ANT
2022-12-29,15.9644970414201,161735.700197239,1013096.1205831512,ANT
2022-12-30,13.3195266272189,130493.096646943,979712.7202724755,ANT
2022-12-31,13.1775147928994,112504.93096646901,853764.4065259665,ANT
2023-01-01,11.4201183431953,81025.641025641,709499.1364421393,ANT
2023-01-02,10.6745562130178,73688.3629191321,690317.8122690282,ANT
2023-01-03,9.64497041420118,85128.2051282051,882617.5869120654,ANT
2023-01-04,12.1656804733728,93570.01972386589,769130.998702982,ANT
2023-01-05,12.991124260355,125759.36883629201,968040.6892886995,ANT
2023-01-06,8.7396449704142,52859.9605522682,604829.6095689456,ANT
2023-01-07,9.46745562130178,46888.1808526779,495256.41025641,ANT
2023-01-08,9.50295857988166,40260.9619177666,423667.6565443682,ANT
2023-01-09,6.53846153846154,32557.5279421433,497938.66264454444,ANT
2023-01-10,8.40236686390532,36923.0769230769,439436.6197183099,ANT
2023-01-11,8.84615384615385,38974.358974359,440579.71014492755,ANT
2023-01-12,7.301775147929,28717.9487179487,393300.91842247377,ANT
2023-01-13,7.83431952662722,26666.6666666667,340382.67875125917,ANT
2023-01-14,10.4970414201183,28244.5759368836,269071.7775272462,ANT
2023-01-15,9.34319526627219,22699.3519301212,242950.63180433708,ANT
2023-01-16,7.14201183431953,19487.1794871795,272852.80309306824,ANT
2023-01-17,5.91715976331361,14358.9743589744,242666.6666666673,ANT
2023-01-18,6.68047337278107,14358.9743589744,214939.4744611755,ANT
2023-01-19,6.41420118343195,13333.3333333333,207872.07872078675,ANT
2023-01-20,6.34319526627219,11282.0512820513,177860.69651741322,ANT
2023-01-21,6.55621301775148,9230.76923076923,140794.22382671476,ANT
2023-01-22,7.17751479289941,9230.76923076923,128606.76009892824,ANT
2023-01-23,4.76331360946746,5128.20512820515,107660.4554865428,ANT
